ADM_NM,Bus_Stop_Count
가락1동,14
가락2동,21
가락본동,25
가리봉동,9
가산동,105
가양1동,62
가양2동,15
가양3동,15
가회동,21
갈현1동,42
갈현2동,30
강일동,50
개봉1동,42
개봉2동,25
개봉3동,22
개포1동,15
개포2동,32
개포3동,13
개포4동,27
거여1동,8
거여2동,9
고덕1동,21
고덕2동,20
고척1동,31
고척2동,36
공덕동,35
공릉1동,45
공릉2동,52
공항동,59
광장동,38
광희동,24
교남동,22
구로1동,21
구로2동,42
구로3동,46
구로4동,13
구로5동,34
구산동,33
구의1동,13
구의2동,20
구의3동,23
군자동,22
금호1가동,39
금호2·3가동,36
금호4가동,32
길동,37
길음1동,26
길음2동,22
낙성대동,36
난곡동,22
난향동,15
남가좌1동,15
남가좌2동,25
남영동,21
남현동,9
내곡동,64
노량진1동,52
노량진2동,12
녹번동,27
논현1동,18
논현2동,26
능동,9
다산동,8
답십리1동,27
답십리2동,20
당산1동,21
당산2동,43
대림1동,16
대림2동,12
대림3동,36
대방동,52
대조동,24
대치1동,18
대치2동,29
대치4동,15
대학동,54
대흥동,30
도곡1동,21
도곡2동,20
도림동,23
도봉1동,36
도봉2동,43
도화동,34
독산1동,66
독산2동,9
독산3동,23
독산4동,14
돈암1동,14
돈암2동,34
동선동,17
동화동,4
둔촌1동,9
둔촌2동,29
등촌1동,15
등촌2동,9
등촌3동,49
마장동,28
마천1동,13
마천2동,13
망우3동,11
망우본동,56
망원1동,23
망원2동,34
면목2동,23
면목3·8동,30
면목4동,13
면목5동,11
면목7동,18
면목본동,28
명동,30
명일1동,24
명일2동,13
목1동,24
목2동,15
목3동,8
목4동,14
목5동,28
무악동,5
묵1동,32
묵2동,19
문래동,42
문정1동,17
문정2동,32
미사1동,1
미성동,35
미아동,27
반포1동,20
반포2동,22
반포3동,15
반포4동,33
반포본동,3
발산1동,59
방배1동,23
방배2동,35
방배3동,44
방배4동,29
방배본동,21
방이1동,12
방이2동,13
방학1동,31
방학2동,23
방학3동,26
방화1동,43
방화2동,36
방화3동,21
번1동,23
번2동,42
번3동,35
보광동,13
보라매동,25
보문동,10
부암동,34
북가좌1동,12
북가좌2동,36
북아현동,16
불광1동,38
불광2동,26
사근동,40
사당1동,12
사당2동,30
사당3동,26
사당4동,4
사당5동,24
사직동,32
삼각산동,22
삼선동,38
삼성1동,34
삼성2동,22
삼성동,31
삼양동,29
삼전동,14
삼청동,17
상계10동,24
상계1동,29
상계2동,26
상계3·4동,18
상계5동,28
상계6·7동,30
상계8동,13
상계9동,19
상도1동,44
상도2동,37
상도3동,33
상도4동,33
상봉1동,13
상봉2동,18
상암동,96
상일1동,40
상일2동,19
서강동,63
서교동,82
서림동,23
서빙고동,24
서원동,21
서초1동,35
서초2동,46
서초3동,75
서초4동,43
석관동,29
석수1동,1
석촌동,19
성내1동,21
성내2동,18
성내3동,15
성북동,46
성산1동,26
성산2동,40
성수1가1동,32
성수1가2동,12
성수2가1동,30
성수2가3동,21
성현동,29
세곡동,65
소공동,36
소하1동,1
송정동,13
송중동,58
송천동,18
송파1동,14
송파2동,12
수궁동,40
수색동,18
수서동,17
수유1동,39
수유2동,13
수유3동,24
숭인1동,11
숭인2동,8
시흥1동,42
시흥2동,19
시흥3동,16
시흥4동,25
시흥5동,36
신길1동,21
신길3동,25
신길4동,13
신길5동,21
신길6동,24
신길7동,32
신내1동,54
신내2동,18
신당5동,8
신당동,8
신대방1동,14
신대방2동,28
신도림동,41
신림동,17
신사1동,23
신사2동,31
신사동,34
신수동,24
신원동,10
신월1동,9
신월2동,9
신월3동,11
신월4동,10
신월5동,13
신월6동,12
신월7동,19
신정1동,28
신정2동,14
신정3동,60
신정4동,18
신정6동,19
신정7동,27
신촌동,47
쌍문1동,44
쌍문2동,15
쌍문3동,15
쌍문4동,17
아현동,17
안암동,30
암사1동,13
암사2동,6
암사3동,11
압구정동,25
약수동,12
양재1동,73
양재2동,50
양평1동,22
양평2동,31
여의동,65
역삼1동,51
역삼2동,26
역촌동,51
연남동,22
연희동,57
염리동,9
염창동,36
영등포동,49
영등포본동,20
오금동,38
오류1동,14
오류2동,61
오륜동,24
옥수동,40
왕십리2동,15
왕십리도선동,25
용강동,23
용답동,11
용문동,16
용산2가동,27
용신동,38
우이동,34
우장산동,28
원효로1동,23
원효로2동,24
월계1동,45
월계2동,40
월계3동,24
월곡1동,21
월곡2동,27
위례동,62
은천동,42
을지로동,17
응봉동,33
응암1동,22
응암2동,35
응암3동,25
이문1동,26
이문2동,11
이촌1동,21
이촌2동,11
이태원1동,15
이태원2동,21
이화동,20
인수동,49
인헌동,23
일원1동,15
일원본동,27
자양1동,13
자양2동,15
자양3동,18
자양4동,12
잠실2동,8
잠실3동,27
잠실4동,9
잠실6동,15
잠실7동,4
잠실본동,13
잠원동,24
장안1동,27
장안2동,33
장암동,1
장위1동,33
장위2동,27
장위3동,35
장지동,43
장충동,13
전농1동,31
전농2동,12
정릉1동,17
정릉2동,46
정릉3동,33
정릉4동,33
제기동,27
조원동,26
종로1·2·3·4가동,68
종로5·6가동,18
종암동,59
중계1동,18
중계2·3동,31
중계4동,7
중계본동,19
중곡1동,18
중곡2동,17
중곡3동,21
중곡4동,33
중림동,11
중앙동,14
중화1동,14
중화2동,28
증산동,11
진관동,71
창1동,21
창2동,25
창3동,12
창4동,36
창5동,18
창신1동,8
창신2동,1
창신3동,6
천연동,37
천호1동,19
천호2동,26
천호3동,12
철산1동,1
청구동,5
청담동,26
청량리동,24
청룡동,17
청림동,8
청운효자동,30
청천2동,1
청파동,24
초이동,2
충현동,43
평창동,54
풍납1동,6
풍납2동,25
필동,10
하계1동,31
하계2동,23
하안3동,2
한강로동,41
한남동,39
합정동,29
항동,30
행당1동,26
행당2동,25
행운동,15
혜화동,37
홍은1동,32
홍은2동,71
홍제1동,22
홍제2동,9
홍제3동,41
화곡1동,27
화곡2동,29
화곡3동,9
화곡4동,29
화곡6동,29
화곡8동,27
화곡본동,25
화양동,21
황학동,7
회기동,9
회현동,35
효창동,15
후암동,18
휘경1동,14
휘경2동,17
흑석동,48
